,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,股票市值,结存数量,结存成本,单位成本,股票浮盈亏,处置收益总额,收益总额,收益率,买进次数,卖出次数,总操作次数
0,20210108,'600745,闻泰科技,106.0,107.57,101.18,105.5,108.85,-2.85,-2.6183,106000.0,1000.0,106000.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20210111,'600745,闻泰科技,112.04,112.5,106.9,106.95,106.0,6.04,5.6981,112040.0,1000.0,106000.0,106.0,6040.0,0.0,6040.0,0.056981132075471695,0.0,0.0,0.0
2,20210112,'600745,闻泰科技,112.77,113.9,109.13,111.0,112.04,0.73,0.6516,101493.0,900.0,95400.0,106.0,6093.0,588.4999999999991,6681.499999999999,0.07003668763102724,0.0,1.0,1.0
3,20210113,'600745,闻泰科技,115.38,119.87,112.83,113.5,112.77,2.61,2.3144,103842.0,900.0,95400.0,106.0,8442.0,588.4999999999991,9030.5,0.09465932914046121,0.0,1.0,1.0
4,20210114,'600745,闻泰科技,121.4,122.66,115.59,116.38,115.38,6.02,5.2175,109260.0,900.0,95400.0,106.0,13860.0,588.4999999999991,14448.5,0.1514517819706499,0.0,1.0,1.0
5,20210115,'600745,闻泰科技,114.79,122.88,113.0,122.8,121.4,-6.61,-5.4448,91832.0,800.0,84800.0,106.0,7032.0,1867.9999999999993,8900.0,0.10495283018867925,0.0,2.0,2.0
6,20210118,'600745,闻泰科技,125.6,126.27,112.72,113.72,114.79,10.81,9.4172,113040.0,900.0,96766.0,107.51777777777778,16274.0,1867.9999999999993,18142.0,0.1874832069115185,1.0,2.0,3.0
7,20210119,'600745,闻泰科技,127.15,133.9,125.6,126.0,125.6,1.55,1.2341,101720.0,800.0,86014.22222222222,107.51777777777778,15705.777777777781,3773.7222222222217,19479.500000000004,0.22646836182130092,1.0,3.0,4.0
8,20210120,'600745,闻泰科技,128.7,130.32,123.6,126.8,127.15,1.55,1.219,102959.99999999999,800.0,86014.22222222222,107.51777777777778,16945.777777777766,3773.7222222222217,20719.49999999999,0.24088458239464264,1.0,3.0,4.0
9,20210121,'600745,闻泰科技,127.7,129.5,124.5,128.3,128.7,-1.0,-0.777,102160.0,800.0,86014.22222222222,107.51777777777778,16145.777777777781,3773.7222222222217,19919.500000000004,0.23158379492797063,1.0,3.0,4.0
10,20210122,'600745,闻泰科技,126.5,131.37,121.95,127.0,127.7,-1.2,-0.9397,101200.0,800.0,86014.22222222222,107.51777777777778,15185.777777777781,3773.7222222222217,18959.500000000004,0.22042284996796402,1.0,3.0,4.0
11,20210125,'600745,闻泰科技,116.82,122.5,116.0,122.2,126.5,-9.68,-7.6522,93456.0,800.0,86014.22222222222,107.51777777777778,7441.777777777781,3773.7222222222217,11215.500000000004,0.1303912272905773,1.0,3.0,4.0
12,20210126,'600745,闻泰科技,116.82,120.35,115.37,117.4,116.82,0.0,0.0,105138.0,900.0,97725.22222222222,108.58358024691357,7412.777777777781,3773.7222222222217,11186.500000000004,0.11446891340459137,2.0,3.0,5.0
13,20210127,'600745,闻泰科技,116.86,118.42,113.91,115.8,116.82,0.04,0.0342,105174.0,900.0,97725.22222222222,108.58358024691357,7448.777777777781,3773.7222222222217,11222.500000000004,0.11483729322692769,2.0,3.0,5.0
14,20210128,'600745,闻泰科技,109.92,114.52,109.1,114.51,116.86,-6.94,-5.9387,98928.0,900.0,97725.22222222222,108.58358024691357,1202.777777777781,3773.7222222222217,4976.500000000003,0.05092339405157548,2.0,3.0,5.0
15,20210129,'600745,闻泰科技,105.38,111.8,101.25,110.0,109.92,-4.54,-4.1303,105380.0,1000.0,108494.22222222222,108.49422222222222,-3114.222222222219,3773.7222222222217,659.5000000000027,0.006078664711280093,3.0,3.0,6.0
16,20210201,'600745,闻泰科技,99.0,101.83,96.0,96.0,105.38,-6.38,-6.0543,99000.0,1000.0,108494.22222222222,108.49422222222222,-9494.222222222219,3773.7222222222217,-5720.499999999997,-0.05272631005440123,3.0,3.0,6.0
17,20210202,'600745,闻泰科技,96.6,98.98,94.75,98.95,99.0,-2.4,-2.4242,106260.0,1100.0,118271.72222222222,107.51974747474748,-12011.722222222219,3773.7222222222217,-8237.999999999996,-0.06965316683662993,4.0,3.0,7.0
18,20210203,'600745,闻泰科技,97.15,99.45,95.01,96.99,96.6,0.55,0.5694,106865.0,1100.0,118271.72222222222,107.51974747474748,-11406.722222222219,3773.7222222222217,-7632.999999999997,-0.0645378274416116,4.0,3.0,7.0
19,20210204,'600745,闻泰科技,102.37,104.63,93.0,95.6,97.15,5.22,5.3731,112607.0,1100.0,118271.72222222222,107.51974747474748,-5664.722222222219,3773.7222222222217,-1890.9999999999973,-0.015988606274346572,4.0,3.0,7.0
20,20210205,'600745,闻泰科技,100.32,103.52,100.26,100.89,102.37,-2.05,-2.0025,100320.0,1000.0,107519.74747474748,107.51974747474748,-7199.747474747477,3082.247474747473,-4117.500000000004,-0.03829529083452374,4.0,4.0,8.0
21,20210208,'600745,闻泰科技,110.35,110.35,103.0,104.89,100.32,10.03,9.998,110350.0,1000.0,107519.74747474748,107.51974747474748,2830.252525252523,3082.247474747473,5912.499999999996,0.05498989849644718,4.0,4.0,8.0
22,20210209,'600745,闻泰科技,110.9,112.9,108.0,109.8,110.35,0.55,0.4984,99810.0,900.0,96767.77272727274,107.51974747474749,3042.227272727265,3365.2727272727248,6407.499999999989,0.0662152266132929,4.0,5.0,9.0
23,20210210,'600745,闻泰科技,114.09,114.78,109.0,110.91,110.9,3.19,2.8765,102681.0,900.0,96767.77272727274,107.51974747474749,5913.227272727265,3365.2727272727248,9278.499999999989,0.0958841951043993,4.0,5.0,9.0
24,20210218,'600745,闻泰科技,114.31,119.5,113.78,115.88,114.09,0.22,0.1928,102879.0,900.0,96767.77272727274,107.51974747474749,6111.227272727265,3365.2727272727248,9476.499999999989,0.09793033086240664,4.0,5.0,9.0
25,20210219,'600745,闻泰科技,112.77,114.96,108.38,114.32,114.31,-1.54,-1.3472,101493.0,900.0,96767.77272727274,107.51974747474749,4725.227272727265,3365.2727272727248,8090.499999999989,0.08360738055635528,4.0,5.0,9.0
26,20210222,'600745,闻泰科技,112.6,115.2,109.62,112.07,112.77,-0.17,-0.1507,101340.0,900.0,96767.77272727274,107.51974747474749,4572.227272727265,3365.2727272727248,7937.499999999989,0.08202627565244051,4.0,5.0,9.0
27,20210223,'600745,闻泰科技,108.6,112.38,107.25,110.5,112.6,-4.0,-3.5524,97740.0,900.0,96767.77272727274,107.51974747474749,972.2272727272648,3365.2727272727248,4337.499999999989,0.044823807325034375,4.0,5.0,9.0
28,20210224,'600745,闻泰科技,107.58,112.58,106.1,107.72,108.6,-1.02,-0.9392,96822.0,900.0,96767.77272727274,107.51974747474749,54.22727272726479,3365.2727272727248,3419.4999999999895,0.035337177901545815,4.0,5.0,9.0
29,20210225,'600745,闻泰科技,103.24,109.02,103.0,107.59,107.58,-4.34,-4.0342,92916.0,900.0,96767.77272727274,107.51974747474749,-3851.772727272735,3365.2727272727248,-486.50000000001046,-0.005027500233689855,4.0,5.0,9.0
